new_sampleid	Bam_Id	Depth	Chimeric_Reads_NGScheck	Chimeric_Reads_flagstat	Mean_TLEN	Q30	FREEMIX	Yield	Yield_QC	sa.qc.callRate	sa.qc.dpMean	sa.qc.dpStDev	sa.qc.gqStDev	sa.hetStats.stdev	sa.qc.rHetHomVar	sa.qc.rTiTv	sa.qc.nSingleton	sa.qc.nSNP	sa.qc.nInsertion	sa.qc.nDeletion	sa.imputesex.Fstat	call_rate	f_stat	passes_qc0	passes_qc1	passes_qc2
748d865e-98e2-4e50-ad7a-a684d0ceff5b	150ff9cf-d242-41bd-a74d-067ec833ef1c	34.4	0.0142	0.0087	320	87.43	0.00047	113.7	105.82	0.99899543379	34.6614864247	8.67853053469	12.4021380682	0.497394929116	1.5671641791	4.02630040912	0	8600	3	1	-0.0124718477328	0.95764	-0.0047748	TRUE	TRUE	TRUE
754ae45f-bead-4740-9234-d192692c5691	084a28c0-5ed3-4827-b6ce-a0d49f492267	40.5	0.0096	0.0073	429	89.64	0.00036	154.93	125.07	0.998173515982	46.5921317475	17.6008029305	16.7671083614	0.495235436268	1.54659136749	4.01771428571	0	8781	14	0	0.0324642552063	0.95677	0.032571	TRUE	FALSE	TRUE
75602f8b-83d5-49d5-9064-0858ba9dd784	NA	0	NA	1	300	NA	1	NA	NA	0.999360730594	26.006488166	11.6427546816	19.6803395943	0.630624778574	1.40769529732	4.10308677927	0	8762	5	2	0.186583402948	0.9583	0.18359	FALSE	FALSE	FALSE
764e27ec-b8bb-4233-9cf6-5a952120535f	a947bacd-0660-43b1-b556-0944bb6378fd	37.2	0.0169	0.0117	264	89.66	7e-04	124.5	114.75	0.996803652968	42.5206596427	15.4588220813	17.9999664336	0.484025193397	1.50946435763	4.02713625866	0	8707	6	2	0.992738093073	0.99396	0.99281	TRUE	FALSE	TRUE
76767826-5cff-4c07-8c00-e7e587968829	a0198a5e-8bb3-44a1-bf3e-f632d85e7eb0	38.3	0.0317	0.0221	456	88.58	0.00019	143.55	118.95	0.999543378995	41.1033348561	12.3844762326	8.22297285915	0.496454094872	1.52021018593	4.09543325527	0	8703	7	0	0.995190157493	0.99549	0.99048	TRUE	FALSE	TRUE
7685285e-9700-4888-aea2-e4395a57932f	0f631925-9e09-4c10-ac7c-78e208fa41d7	23.7	0.0171	0.0118	292	89.52	0.00823	104.43	73.41	0.999452054795	27.527503655	12.989071688	19.773839273	0.674651627491	1.20566105339	4.15935334873	0	8936	10	2	0.968736023704	0.99636	0.96666	TRUE	FALSE	TRUE
76f60ec9-4303-4f7a-8516-da4963c4cfae	12e31692-5090-4741-962d-17c717c37ce8	38.7	0.0117	0.0082	283	90.66	0.00016	126.71	119.13	0.99799086758	39.7106515373	11.0262277172	11.1155390793	0.401589129062	1.57601351351	4.00413956239	0	8462	7	0	0.0981545299292	0.95597	0.099768	TRUE	FALSE	TRUE
778a8b06-fb74-4840-aae5-6dfe64de7a83	7052c9fb-493a-4028-8b07-3b8940b6b875	46.8	0.0114	0.0072	311	78.09	2e-04	152.34	143.81	0.999452054795	45.331505848	11.9845298703	9.04724756565	0.385403705413	1.56004901961	4.07634032634	1	8711	4	1	-0.0894293278455	0.95902	-0.083347	TRUE	FALSE	TRUE
780a0702-3e17-4768-bd37-77f09e427673	793b61ec-60db-450a-aa7c-8023f6223a73	28.1	0.032	0.0147	313	91.6	0.00034	102.86	86.84	0.99899543379	30.1013803821	10.080363479	17.485987929	0.503220722511	1.26144704649	3.97226666667	0	9323	9	0	0.177104449025	0.9575	0.18228	TRUE	FALSE	TRUE
7826a2e6-30ae-460b-ab97-2986f1d76d4b	10c8b51c-0fc2-4125-851f-c4ac3bb6d00d	35	0.0251	0.013	208	90.57	0.00036	128.48	107.69	0.99899543379	39.8805192431	10.1543749182	9.69151753783	0.507505496618	1.52344068488	4.0162601626	0	8638	4	2	0.114988978704	0.95808	0.11427	TRUE	FALSE	TRUE
782b1013-eeb6-47cf-b7f1-536ac6d15f16	c1f86984-4cca-4258-9206-09330b3bfff8	32.4	0.0316	0.0128	523	91.33	0.00031	110.24	99.75	0.999452054795	33.1377923977	9.94032913802	14.6995569229	0.574431999512	1.61146496815	4.10077984403	0	8503	3	0	0.0476511836053	0.95888	0.047607	TRUE	TRUE	TRUE
785b7557-ba69-4648-b653-6c22e483a0e0	f34a3bf4-ef28-4c35-ac9c-983e894b4c7d	42.5	0.0211	0.0149	315	86.84	0.00115	143.15	130.78	0.999543378995	44.1742348104	9.57123151674	7.19862907807	0.360494467602	1.50020383204	4.02049180328	0	8575	10	1	0.992776562425	0.99622	0.99046	TRUE	TRUE	TRUE
78960b37-34e1-4093-8cc1-d3fc639805e5	fecdaaca-31fb-4c55-a462-6b7ac69fd36b	37.8	0.0144	0.0098	337	89.11	0.00026	123.85	116.47	0.999360730594	38.2244357123	10.6700097343	10.9204742981	0.445720204837	1.56818181818	3.96777840588	0	8788	3	1	0.175112010042	0.95779	0.18275	TRUE	FALSE	TRUE
78aadce0-25d7-4ee6-9907-789bfe3ba5f4	3738ede8-7479-4308-a755-1499278ad65c	37.3	0.0289	0.0184	443	89.47	0.00026	137.37	115.79	0.998630136986	39.153909465	11.9976143428	8.89905034018	0.409434225162	1.56829268293	3.9733408962	1	8768	10	1	0.0284118135771	0.95771	0.026178	TRUE	FALSE	TRUE
78dfe0a1-4837-4b51-856a-63775c70f459	65a56af1-90dc-450b-b4af-e00e32ac036d	42.3	0.0147	0.0096	301	88.13	0.00029	141.09	130.17	0.997899543379	43.6548000366	10.3381019864	7.23320729975	0.367438768958	1.49377759936	3.95783475783	0	8701	4	0	-0.00285216271868	0.95524	0.0068872	TRUE	FALSE	TRUE
79accf40-b6cf-4c63-bee4-867af77bd439	d71944b1-041d-4514-84dc-8f63d0a57d60	36.7	0.0127	0.0086	318	88.46	1e-04	119.78	112.9	0.999452054795	37.753746345	9.13531993937	9.86014320376	0.480113342825	1.49619543452	4.01321079839	0	8728	1	1	0.136633269986	0.95873	0.14285	TRUE	TRUE	TRUE
79ade75e-ad86-436d-b2e0-0b5100b472c9	3d1c8c98-6f9e-4614-af4d-87f425ae6ca9	34.9	0.024	0.0135	327	88.78	0.00032	123.81	107.73	0.998356164384	37.2084705452	10.6053851709	12.2269064103	0.436792661441	1.60512185048	4.04043905257	0	8725	3	1	-0.102006322651	0.95662	-0.10133	TRUE	FALSE	TRUE
7a57fd61-5940-48f3-bfa2-14d397ad6e1d	fc22c5a2-54e2-45f2-b28b-5be29d9857a8	39.8	0.0148	0.0105	313	90.18	0.00038	132.1	122.5	0.998630136986	40.702789209	9.69514307589	8.55425659241	0.410232534331	1.50835711374	4.122096486	0	8600	4	2	-0.0196866114933	0.95742	-0.014547	TRUE	TRUE	TRUE
